Venue,races,hits,inv,ret,hit_rate(%),ROI(%)
児島,3,1,2000.0,9200.0,33.3,460.0
住之江,13,1,10300.0,45360.0,7.7,440.4
丸亀,14,1,9400.0,29910.0,7.1,318.2
桐生,22,2,17200.0,33270.0,9.1,193.4
浜名湖,11,2,7800.0,14060.0,18.2,180.3
唐津,24,1,12500.0,8840.0,4.2,70.7
徳山,25,1,12300.0,8100.0,4.0,65.9
大村,18,1,14400.0,6270.0,5.6,43.5
福岡,19,1,12900.0,4470.0,5.3,34.7
びわこ,8,0,5300.0,0.0,0.0,0.0
蒲郡,20,0,14100.0,0.0,0.0,0.0
若松,6,0,4000.0,0.0,0.0,0.0
芦屋,23,0,11600.0,0.0,0.0,0.0
津,13,0,8100.0,0.0,0.0,0.0
江戸川,3,0,2400.0,0.0,0.0,0.0
平和島,5,0,2200.0,0.0,0.0,0.0
戸田,20,0,14300.0,0.0,0.0,0.0
三国,15,0,9100.0,0.0,0.0,0.0
常滑,16,0,11100.0,0.0,0.0,0.0
尼崎,28,0,17100.0,0.0,0.0,0.0
宮島,7,0,3200.0,0.0,0.0,0.0
多摩川,10,0,6600.0,0.0,0.0,0.0
下関,6,0,4600.0,0.0,0.0,0.0
鳴門,17,0,9000.0,0.0,0.0,0.0
