Venue,races,det_races,det_hits,1号艇1着率(%),平均払戻,中央払戻,Det本命1着率(%)
徳山,900,25,14,62.9,8590,1910,56.0
下関,588,6,4,62.2,5850,2125,66.7
芦屋,816,23,15,60.4,7720,2410,65.2
児島,768,3,3,59.8,985483,2520,100.0
丸亀,768,14,6,58.9,7241,2400,42.9
尼崎,834,28,15,58.6,6761,2105,53.6
住之江,672,13,7,58.5,7217,2315,53.8
若松,747,6,4,58.0,7109,2180,66.7
大村,840,18,8,57.9,6732,2275,44.4
唐津,690,24,13,57.8,7529,2075,54.2
津,643,13,7,57.4,29606,2290,53.8
福岡,708,19,13,56.8,6452,2035,68.4
宮島,708,7,3,56.8,8643,2320,42.9
常滑,906,16,9,55.2,7311,2090,56.2
多摩川,624,10,5,54.2,5834,2485,50.0
びわこ,645,8,5,53.2,7673,2490,62.5
蒲郡,888,20,11,51.6,6676,2430,55.0
浜名湖,837,11,5,50.8,8261,2570,45.5
桐生,793,22,11,49.8,8765,2760,50.0
三国,631,15,8,48.5,8294,2930,53.3
平和島,643,5,3,47.7,6313,2840,60.0
江戸川,671,3,2,47.1,7657,3270,66.7
鳴門,612,17,10,45.8,7409,3070,58.8
戸田,648,20,4,39.8,7627,3450,20.0
