trial_id	timestamp	git_hash	roi	hit_rate	n_trades	n_hits	invest	return	composite_score	change_summary	is_kept
1	2026-04-16 08:12:36	d9ad1c4	659.95	7.62	10218	779	1021800	6743340	659.95	baseline (初期スコア)	0
2	2026-04-17 14:03:05	e6853c7	682.39	7.56	9822	743	982200	6702430	682.39	Add ExTime rank per lane (1=fastest) for motor-strength ordering	1
3	2026-04-17 14:05:32	1e6608d	682.74	7.55	9822	742	982200	6705920	682.74	Add WinRate rank per lane (1=strongest) for player-strength ordering	1
4	2026-04-17 14:08:04	f7c46b1	682.12	7.53	9822	740	982200	6699800	682.12	Add Course_Win rank per lane + B1_CourseWin_vs_Max for course-specific strength	0
5	2026-04-17 14:10:23	f7c46b1	682.74	7.55	9822	742	982200	6705920	682.74	Add MotorWinRate rank per lane + B1_MotorWin_vs_Max	0
6	2026-04-17 14:13:15	f7c46b1	682.19	7.57	9822	744	982200	6700430	682.19	Clean Weight (strip kg) + B#_Weight_vs_Mean + Weight_Spread	0
7	2026-04-17 14:15:39	f7c46b1	686.09	7.78	9822	764	982200	6738780	686.09	Add Month sin/cos cyclical encoding for seasonality	1
8	2026-04-17 14:18:09	d88e9ed	682.4	7.56	9822	743	982200	6702560	682.4	Add DayOfWeek sin/cos cyclical encoding	0
9	2026-04-17 14:20:29	d88e9ed	682.89	7.6	9822	746	982200	6707340	682.89	Add VenueMonth_ID cross feature (venue-seasonality bias)	0
10	2026-04-17 14:23:16	d88e9ed	684.06	7.59	9822	745	982200	6718850	684.06	Add R (race number) linear + sin/cos for intra-day progression	0
11	2026-04-17 14:25:38	d88e9ed	686.09	7.78	9822	764	982200	6738780	686.09	Add B#_Count (race count per player, reliability indicator)	0
12	2026-04-17 14:27:55	d88e9ed	686.09	7.78	9822	764	982200	6738780	686.09	Add Wave x Lane and Wind x Lane interactions (outer-lane disadvantage in rough conditions)	0
13	2026-04-17 14:30:33	d88e9ed	680.26	7.41	9822	728	982200	6681500	680.26	Add WinRate x Course_Win interaction per lane (compound strength)	0
14	2026-04-17 14:33:03	d88e9ed	679.44	7.53	9822	740	982200	6673470	679.44	Add WR_Share per lane (WinRate normalized by race-total, relative strength)	0
15	2026-04-17 14:35:44	d88e9ed	681.83	7.57	9822	744	982200	6696970	681.83	Add WinRate Entropy (race competitiveness: lock vs open)	0
16	2026-04-17 14:38:04	d88e9ed	686.09	7.78	9822	764	982200	6738780	686.09	Add full WindDir one-hot (Tailwind/Crosswind/NoWind) + Tailwind_x_Speed	0
17	2026-04-17 14:40:33	d88e9ed	680.13	7.4	9822	727	982200	6680210	680.13	Add Diff_WinRate_1_3 ... 1_6 (B1 dominance per pair)	0
18	2026-04-17 14:43:17	d88e9ed	684.13	7.64	9822	750	982200	6719510	684.13	Add B#_IsA (A-class binary) + NumA_Boats (count of elite in race)	0
19	2026-04-17 14:45:52	d88e9ed	683.59	7.54	9822	741	982200	6714230	683.59	Add Tilt aggregates (Tilt_Mean / Max / NumPositive) for race-level aggressiveness	0
20	2026-04-17 14:48:34	d88e9ed	686.09	7.78	9822	764	982200	6738780	686.09	Add WaterTemp binned (cold/cool/warm/hot) for nonlinear motor-temp effect	0
21	2026-04-17 14:51:08	d88e9ed	684.14	7.68	9822	754	982200	6719580	684.14	Add Course_3in rank per lane (top-3 finishing stability for 3rd place)	0
22	2026-04-17 14:53:30	d88e9ed	679.1	7.43	9822	730	982200	6670150	679.1	Add DayOfYear sin/cos (finer-grained seasonality beyond month)	0
23	2026-04-17 14:56:03	d88e9ed	684.81	7.63	9822	749	982200	6726190	684.81	Add Inner (1-2) vs Outer (3-6) WinRate balance + B1 vs outer3-6 diff	0
24	2026-04-17 14:58:41	d88e9ed	683.65	7.55	9822	742	982200	6714800	683.65	Add sorted WR (descending) per race + Top2_Gap + Top3_Sum (race strength distribution)	0
25	2026-04-17 15:01:13	d88e9ed	683.18	7.63	9822	749	982200	6710200	683.18	Add Wave_x_Wind interaction (compound rough-water severity)	0
26	2026-04-19 03:02:34	4ff1c82	733.57	7.6	9066	689	906600	6650560	733.57	Add B2-B6_ExTime_vs_Min and vs_Avg (relative motor speed diff for all lanes)	1
27	2026-04-19 03:04:36	2c18f03	730.29	7.56	9066	685	906600	6620780	730.29	Add B1-B6_WinRate_vs_Avg and vs_Max (relative player skill diff for all lanes)	0
28	2026-04-19 03:06:20	2c18f03	729.59	7.4	9066	671	906600	6614440	729.59	Add B1-B6_CourseWin_vs_Max and vs_Avg (relative course win diff for all lanes)	0
29	2026-04-19 03:08:12	2c18f03	730.69	7.42	9066	673	906600	6624470	730.69	Add B1-B6_Tilt_vs_Avg (per-lane tilt relative to race mean)	0
30	2026-04-19 03:10:03	2c18f03	733.57	7.6	9066	689	906600	6650560	733.57	Add WeatherID label encoding (sunny/cloudy/rain weather condition)	0
31	2026-04-19 03:12:20	2c18f03	730.25	7.48	9066	678	906600	6620490	730.25	Add B1-B6_Combined_Rank (ExTime_Rank x WinRate_Rank product, motor+skill strength)	0
32	2026-04-19 03:14:24	2c18f03	729.41	7.51	9066	681	906600	6612800	729.41	Add B1-B6_ExTime_NormPos (ExTime_vs_Min normalized by field spread, 0=fastest 1=slowest)	0
33	2026-04-19 03:16:32	2c18f03	731.73	7.5	9066	680	906600	6633830	731.73	Add ExTime_Std (race-level ExTime standard deviation, motor competitiveness spread)	0
34	2026-04-19 03:18:42	2c18f03	733.57	7.6	9066	689	906600	6650560	733.57	Add B1-B6_MotorWinRate_Rank (within-race rank of historical motor win rate, 1=best)	0
35	2026-04-19 03:20:44	2c18f03	733.57	7.6	9066	689	906600	6650560	733.57	Add B1-B6_ExTimeGap_x_MWR (ExTime_vs_Min * MotorWinRate, race-day motor speed * historical win rate)	0
36	2026-04-19 03:22:41	2c18f03	735.56	7.72	9066	700	906600	6668590	735.56	Add B1-B6_Course_2in_Rank (within-race rank of course-specific 2nd place rate)	1
37	2026-04-19 03:24:30	63855e9	733.9	7.62	9066	691	906600	6653570	733.9	Add B1-B6_Course_Win_Rank (within-race rank of course-specific 1st place rate)	0
38	2026-04-19 03:26:18	63855e9	731.31	7.46	9066	676	906600	6630020	731.31	Add B1-B6_RankScore_Rank (within-race rank of official class A1/A2/B1/B2, 1=highest class)	0
39	2026-04-19 03:28:42	63855e9	729.65	7.5	9066	680	906600	6615020	729.65	Add B1-B6_Course_3in_Rank (within-race rank of course-specific 3rd place rate)	0
40	2026-04-19 03:31:10	63855e9	729.69	7.51	9066	681	906600	6615400	729.69	Add B1-B6_ExTime_x_C2in_Rank (ExTime_Rank * Course_2in_Rank compound, motor speed x 2nd-place stability)	0
41	2026-04-19 03:33:19	63855e9	732.15	7.64	9066	693	906600	6637630	732.15	Add B1-B6_Course_2in_vs_Avg (2nd-place rate vs race mean, continuous relative advantage)	0
42	2026-04-19 03:35:44	63855e9	733.77	7.6	9066	689	906600	6652400	733.77	Add B1-B6_ExTimeGap_x_Wave (ExTime_vs_Min * Wave, motor gap amplified by rough water)	0
43	2026-04-19 03:37:59	63855e9	734.49	7.73	9066	701	906600	6658890	734.49	Add B1-B6_WinRate_x_C2in (WinRate * Course_2in, player skill x course stability compound)	0
44	2026-04-19 03:40:20	63855e9	730.51	7.53	9066	683	906600	6622760	730.51	Add B1-B6_Course_Total3 (Course_Win + Course_2in + Course_3in sum, total course consistency)	0
45	2026-04-19 03:42:47	63855e9	730.86	7.62	9066	691	906600	6625980	730.86	Add Avg_Course_2in and Course_2in_Spread (race-level 2nd-place rate mean and spread)	0
