n_races,brier_1st,brier_2nd,brier_3rd,log_loss_1st,log_loss_2nd,log_loss_3rd,top1_acc,top3_acc,week_start,month
1173,0.61376,0.802158,0.816476,1.258025,1.67947,1.731976,0.5422,0.8576,2024-07-01,2024-07
1092,0.607163,0.794188,0.810124,1.251443,1.666892,1.708499,0.5577,0.8636,2024-07-08,2024-07
1150,0.596256,0.790855,0.815602,1.21175,1.655957,1.725077,0.547,0.8661,2024-07-15,2024-07
1055,0.642206,0.801796,0.817095,1.322174,1.690882,1.727826,0.5166,0.8303,2024-07-22,2024-07
419,0.657899,0.802495,0.824053,1.363666,1.687078,1.747092,0.4988,0.821,2024-07-29,2024-07
1056,0.607079,0.801357,0.814987,1.242303,1.687393,1.727639,0.5436,0.858,2024-08-01,2024-08
1176,0.58853,0.802167,0.814654,1.209414,1.691245,1.72849,0.5663,0.8648,2024-08-08,2024-08
1199,0.599407,0.800122,0.813805,1.233857,1.68648,1.726572,0.5671,0.8674,2024-08-15,2024-08
1074,0.595917,0.801728,0.814746,1.228079,1.689492,1.723829,0.5633,0.8659,2024-08-22,2024-08
334,0.622943,0.80733,0.817957,1.275934,1.712158,1.739606,0.5329,0.8503,2024-08-29,2024-08
1007,0.570471,0.792222,0.814125,1.174582,1.666048,1.727508,0.6097,0.8759,2024-09-01,2024-09
1070,0.572658,0.792908,0.814969,1.189115,1.665043,1.730119,0.5822,0.8757,2024-09-08,2024-09
985,0.60081,0.79618,0.817322,1.233293,1.672951,1.737612,0.5563,0.8599,2024-09-15,2024-09
1056,0.611,0.795824,0.813317,1.258595,1.672984,1.728085,0.553,0.8513,2024-09-22,2024-09
264,0.547622,0.787774,0.80663,1.109432,1.641534,1.707368,0.6061,0.9167,2024-09-29,2024-09
864,0.624517,0.797648,0.816059,1.269018,1.673988,1.73228,0.5174,0.8738,2024-10-01,2024-10
1043,0.588747,0.798572,0.809018,1.201047,1.673425,1.7091,0.5762,0.8763,2024-10-08,2024-10
911,0.583107,0.79856,0.806914,1.198749,1.681889,1.702893,0.5675,0.8672,2024-10-15,2024-10
1104,0.586579,0.793879,0.810672,1.212689,1.666612,1.714406,0.5788,0.8578,2024-10-22,2024-10
444,0.566865,0.792935,0.813647,1.171182,1.669383,1.725767,0.6014,0.8739,2024-10-29,2024-10
838,0.59764,0.795016,0.815456,1.236583,1.676884,1.733003,0.5585,0.8532,2024-11-01,2024-11
840,0.566117,0.789178,0.815194,1.174033,1.655029,1.728678,0.5964,0.8738,2024-11-08,2024-11
1102,0.596014,0.789012,0.808323,1.224321,1.646632,1.703711,0.5635,0.8775,2024-11-15,2024-11
1053,0.602063,0.795432,0.812381,1.249954,1.668013,1.720644,0.5603,0.8424,2024-11-22,2024-11
300,0.560477,0.797946,0.813171,1.164066,1.678053,1.727072,0.6,0.8767,2024-11-29,2024-11
1114,0.600382,0.797452,0.8112,1.228387,1.679498,1.721022,0.5566,0.8698,2024-12-01,2024-12
1150,0.565536,0.786871,0.810945,1.158561,1.63699,1.714269,0.5939,0.8887,2024-12-08,2024-12
968,0.593792,0.791904,0.814109,1.235361,1.656453,1.727788,0.561,0.8543,2024-12-15,2024-12
1131,0.604908,0.790803,0.809416,1.246098,1.654219,1.712125,0.5517,0.8559,2024-12-22,2024-12
588,0.61623,0.789835,0.809643,1.255108,1.651345,1.71443,0.534,0.8537,2024-12-29,2024-12
1308,0.5749,0.783549,0.808059,1.179927,1.635388,1.702378,0.5772,0.8754,2025-01-01,2025-01
1072,0.595919,0.789164,0.813778,1.229714,1.650592,1.724792,0.5616,0.8517,2025-01-08,2025-01
1090,0.592088,0.792521,0.812031,1.2072,1.661294,1.717766,0.5569,0.8743,2025-01-15,2025-01
1079,0.583309,0.790443,0.80972,1.1985,1.653619,1.709986,0.5811,0.8684,2025-01-22,2025-01
451,0.587903,0.793205,0.815129,1.215297,1.667451,1.72933,0.5698,0.8736,2025-01-29,2025-01
1017,0.595312,0.794138,0.814498,1.227286,1.66884,1.727274,0.5556,0.8653,2025-02-01,2025-02
1002,0.583547,0.796269,0.819984,1.197329,1.677904,1.745587,0.5739,0.8643,2025-02-08,2025-02
1152,0.585391,0.797176,0.811737,1.194488,1.674719,1.720056,0.5694,0.8759,2025-02-15,2025-02
1174,0.563095,0.784765,0.809097,1.154813,1.637202,1.709892,0.5928,0.8876,2025-02-22,2025-02
995,0.571266,0.795873,0.815133,1.180566,1.671935,1.731015,0.5819,0.8683,2025-03-01,2025-03
1096,0.56264,0.792342,0.814139,1.159444,1.660162,1.728883,0.5894,0.8814,2025-03-08,2025-03
1029,0.574945,0.787621,0.815935,1.173417,1.653066,1.73524,0.5792,0.8863,2025-03-15,2025-03
980,0.573465,0.79204,0.812536,1.186046,1.659923,1.722546,0.5929,0.8684,2025-03-22,2025-03
419,0.569496,0.793115,0.806727,1.18046,1.656545,1.703238,0.5895,0.8974,2025-03-29,2025-03
948,0.590936,0.793465,0.811279,1.225326,1.652927,1.718727,0.5728,0.8407,2025-04-01,2025-04
928,0.603282,0.791958,0.812073,1.248241,1.663103,1.722692,0.5463,0.8491,2025-04-08,2025-04
960,0.605339,0.791986,0.813147,1.252282,1.662669,1.722826,0.5615,0.849,2025-04-15,2025-04
1079,0.573903,0.787686,0.813165,1.184147,1.64557,1.726122,0.5653,0.8712,2025-04-22,2025-04
304,0.556455,0.778233,0.812738,1.141703,1.621392,1.717825,0.6053,0.8849,2025-04-29,2025-04
1319,0.598554,0.792727,0.805228,1.214322,1.657155,1.694403,0.5421,0.881,2025-05-01,2025-05
1089,0.595,0.782171,0.811283,1.223137,1.628512,1.718188,0.5436,0.8687,2025-05-08,2025-05
1166,0.576021,0.791723,0.807917,1.180481,1.662107,1.70438,0.566,0.8722,2025-05-15,2025-05
1055,0.58593,0.78706,0.804139,1.204577,1.640843,1.694908,0.5754,0.8701,2025-05-22,2025-05
396,0.59355,0.789617,0.809035,1.215624,1.645745,1.710804,0.548,0.8712,2025-05-29,2025-05
1092,0.601619,0.786407,0.808262,1.238523,1.638839,1.708303,0.554,0.8535,2025-06-01,2025-06
1128,0.604776,0.7875,0.815085,1.235623,1.645237,1.730775,0.547,0.8626,2025-06-08,2025-06
1145,0.601327,0.784568,0.811119,1.231189,1.634297,1.722272,0.5546,0.8664,2025-06-15,2025-06
1075,0.589623,0.788601,0.806101,1.214687,1.648608,1.702583,0.5572,0.8642,2025-06-22,2025-06
324,0.600248,0.788826,0.814028,1.223412,1.639184,1.727596,0.5525,0.8673,2025-06-29,2025-06
1187,0.575847,0.789026,0.804541,1.183662,1.653755,1.691322,0.5737,0.8787,2025-07-01,2025-07
1140,0.591538,0.783775,0.801551,1.208884,1.635103,1.6848,0.5447,0.8632,2025-07-08,2025-07
1243,0.614215,0.787702,0.807375,1.259592,1.644259,1.703956,0.5487,0.8536,2025-07-15,2025-07
1098,0.62141,0.791999,0.812292,1.267339,1.658357,1.72192,0.5373,0.8506,2025-07-22,2025-07
472,0.554991,0.792098,0.799637,1.14384,1.651576,1.678171,0.5953,0.8792,2025-07-29,2025-07
1184,0.575702,0.781836,0.809372,1.193822,1.630674,1.711127,0.5735,0.8522,2025-08-01,2025-08
1183,0.583075,0.778423,0.804233,1.199337,1.616647,1.697229,0.5689,0.8631,2025-08-08,2025-08
1195,0.577201,0.780629,0.805903,1.179909,1.627715,1.700023,0.5791,0.8703,2025-08-15,2025-08
