roi,hit_rate,n_trades,n_hits,invest,return,n_races,week_start,month,mode
80.74,0.36,275,1,28200,22770,70,2024-12-09,2024-12,det
0.0,0.0,77,0,7800,0,20,2024-12-16,2024-12,det
0.0,0.0,154,0,15400,0,40,2024-12-23,2024-12,det
0.0,0.0,271,0,27500,0,70,2024-12-30,2024-12,det
233.69,0.72,279,2,27900,65200,70,2025-01-06,2025-01,det
120.48,0.37,270,1,27000,32530,70,2025-01-13,2025-01,det
0.0,0.0,276,0,27700,0,70,2025-01-20,2025-01,det
0.0,0.0,260,0,26000,0,70,2025-01-27,2025-01,det
0.0,0.0,38,0,4000,0,10,2025-02-03,2025-02,det
8.62,0.37,268,1,26900,2320,70,2025-02-10,2025-02,det
0.0,0.0,258,0,26200,0,70,2025-02-17,2025-02,det
0.0,0.0,261,0,26300,0,70,2025-02-24,2025-02,det
82.96,0.74,269,2,27000,22400,70,2025-03-03,2025-03,det
0.0,0.0,275,0,27500,0,70,2025-03-10,2025-03,det
0.0,0.0,265,0,26700,0,70,2025-03-17,2025-03,det
216.36,0.74,270,2,27200,58850,70,2025-03-24,2025-03,det
0.0,0.0,266,0,27000,0,70,2025-03-31,2025-03,det
0.0,0.0,276,0,27900,0,70,2025-04-07,2025-04,det
10.11,0.74,272,2,27600,2790,70,2025-04-14,2025-04,det
0.0,0.0,228,0,22900,0,60,2025-04-21,2025-04,det
0.0,0.0,160,0,16300,0,40,2025-04-28,2025-04,det
0.0,0.0,266,0,27500,0,70,2025-05-05,2025-05,det
130.29,0.73,273,2,27500,35830,70,2025-05-12,2025-05,det
0.0,0.0,266,0,27300,0,70,2025-05-19,2025-05,det
0.0,0.0,270,0,27100,0,70,2025-05-26,2025-05,det
51.2,0.38,262,1,26600,13620,70,2025-06-02,2025-06,det
0.0,0.0,271,0,28000,0,70,2025-06-09,2025-06,det
152.33,0.74,269,2,27500,41890,70,2025-06-16,2025-06,det
0.0,0.0,270,0,27600,0,70,2025-06-23,2025-06,det
0.0,0.0,262,0,26800,0,70,2025-06-30,2025-06,det
0.0,0.0,233,0,23500,0,60,2025-07-07,2025-07,det
0.0,0.0,190,0,19200,0,50,2025-07-14,2025-07,det
172.45,0.37,272,1,27300,47080,70,2025-07-21,2025-07,det
27.58,0.36,277,1,27700,7640,70,2025-07-28,2025-07,det
0.0,0.0,275,0,27500,0,70,2025-08-04,2025-08,det
117.15,0.38,264,1,27000,31630,70,2025-08-11,2025-08,det
81.25,0.36,274,1,28100,22830,70,2025-08-18,2025-08,det
65.96,0.37,267,1,27000,17810,70,2025-08-25,2025-08,det
26.24,0.36,277,1,27900,7320,70,2025-09-01,2025-09,det
249.36,1.1,272,3,28300,70570,70,2025-09-08,2025-09,det
0.0,0.0,227,0,22900,0,60,2025-09-15,2025-09,det
269.74,1.13,265,3,26700,72020,70,2025-09-22,2025-09,det
80.72,0.37,273,1,27600,22280,70,2025-09-29,2025-09,det
38.12,0.38,264,1,27200,10370,70,2025-10-06,2025-10,det
109.89,0.37,268,1,27100,29780,70,2025-10-13,2025-10,det
164.6,0.76,263,2,26500,43620,70,2025-10-20,2025-10,det
126.87,0.38,264,1,26800,34000,70,2025-10-27,2025-10,det
0.0,0.0,271,0,27400,0,70,2025-11-03,2025-11,det
0.0,0.0,230,0,23500,0,60,2025-11-10,2025-11,det
0.0,0.0,79,0,7900,0,20,2025-11-17,2025-11,det
0.0,0.0,273,0,27500,0,70,2025-11-24,2025-11,det
0.0,0.0,145,0,14500,0,40,2025-12-01,2025-12,det
0.0,0.0,80,0,8200,0,20,2026-02-23,2026-02,det
146.06,0.37,269,1,27400,40020,70,2026-03-02,2026-03,det
