model,id,date,result,payout,picks,n_picks,hit,inv,ret
Gemma/Gemini,20260801_三国_6,2026-08-01,1-4-6,2510.0,1-3-5 1-3-2 1-2-3 1-2-4 1-4-2,5,0,500,0.0
Gemma/Gemini,20260802_びわこ_1,2026-08-02,4-6-5,18840.0,3-1-4 3-1-2 3-4-1 3-4-2 3-2-4,5,0,500,0.0
Gemma/Gemini,20260802_児島_5,2026-08-02,1-2-3,760.0,1-2-3 1-3-2 1-2-4 1-4-2 1-3-5,5,1,500,760.0
Gemma/Gemini,20260802_尼崎_2,2026-08-02,1-6-2,19590.0,3-4-2 3-4-6 3-1-4 4-3-2 3-2-4,5,0,500,0.0
Gemma/Gemini,20260802_若松_11,2026-08-02,1-3-4,520.0,3-1-2 3-1-4 3-2-1 3-2-4,4,0,400,0.0
Gemma/Gemini,20260802_若松_9,2026-08-02,3-2-4,7150.0,3-1-2 3-1-6 3-2-1 3-2-6 3-6-1,5,0,500,0.0
Gemma/Gemini,20260803_宮島_4,2026-08-03,1-5-4,12570.0,2-3-5 2-3-4 2-1-3 3-2-5 3-5-2,5,0,500,0.0
Gemma/Gemini,20260803_常滑_8,2026-08-03,1-3-6,590.0,2-1-3 2-1-6 2-3-1 1-2-3 1-2-6,5,0,500,0.0
Gemma/Gemini,20260804_宮島_3,2026-08-04,3-1-6,7020.0,2-4-1 2-4-3 2-3-4 2-1-4 2-3-5,5,0,500,0.0
Gemma/Gemini,20260804_平和島_3,2026-08-04,3-4-1,14220.0,3-1-5 3-1-6 3-5-1 3-5-6,4,0,400,0.0
Gemma/Gemini,20260804_芦屋_6,2026-08-04,4-2-6,7840.0,1-3-2 1-2-3 1-2-4 1-3-6,4,0,400,0.0
Gemma/Gemini,20260805_三国_10,2026-08-05,4-3-6,1450.0,1-4-3 1-3-4 1-4-5 1-3-5,4,0,400,0.0
Gemma/Gemini,20260805_住之江_6,2026-08-05,2-1-5,1450.0,3-1-2 3-2-1 3-1-4 3-2-4,4,0,400,0.0
Gemma/Gemini,20260805_桐生_9,2026-08-05,1-6-2,1000.0,1-2-6 1-2-4 1-6-2 1-6-4,4,1,400,1000.0
Gemma/Gemini,20260806_住之江_12,2026-08-06,1-4-5,1110.0,1-4-6 1-4-5 1-4-3 1-5-4 1-5-3,5,1,500,1110.0
Gemma/Gemini,20260806_住之江_4,2026-08-06,5-1-3,3180.0,1-2-3 1-2-4 1-4-2 1-3-2,4,0,400,0.0
Gemma/Gemini,20260806_大村_12,2026-08-06,1-3-2,790.0,6-4-3 6-4-1 4-6-3,3,0,300,0.0
Gemma/Gemini,20260806_徳山_1,2026-08-06,1-4-3,3980.0,1-2-3 1-2-4 1-3-2 1-3-4 1-2-5,5,0,500,0.0
Gemma/Gemini,20260806_戸田_5,2026-08-06,4-5-6,1350.0,4-1-6 4-1-5 4-2-6 4-2-1 2-4-6,5,0,500,0.0
Gemma/Gemini,20260807_宮島_1,2026-08-07,1-2-5,1420.0,1-2-3 1-3-2 1-2-5 1-3-6,4,1,400,1420.0
Gemma/Gemini,20260807_戸田_10,2026-08-07,2-5-4,91030.0,1-2-4 1-2-3 1-2-6 1-4-2 1-4-3,5,0,500,0.0
Gemma/Gemini,20260807_戸田_12,2026-08-07,4-6-2,29900.0,1-2-4 1-2-3 1-4-3 1-4-6,4,0,400,0.0
Gemma/Gemini,20260808_三国_5,2026-08-08,1-6-3,6300.0,5-1-6 5-4-6 5-6-1 5-1-2 1-5-6,5,0,500,0.0
