season,league,matchday,date,kickoff,home,away,home_goals,away_goals,result,stadium
2021,J1,第１節第１日,2021-02-26,18:04,川崎Ｆ,横浜FM,2,0,H,等々力
2021,J1,第１節第２日,2021-02-27,14:00,浦和,FC東京,1,1,D,埼玉
2021,J1,第１節第２日,2021-02-27,14:00,札幌,横浜FC,5,1,H,札幌ド
2021,J1,第１節第２日,2021-02-27,14:03,大分,徳島,1,1,D,昭和電ド
2021,J1,第１節第２日,2021-02-27,14:03,広島,仙台,1,1,D,Ｅスタ
2021,J2,第１節第１日,2021-02-27,14:03,長崎,金沢,2,1,H,トラスタ
2021,J2,第１節第１日,2021-02-27,14:05,北九州,新潟,1,4,A,ミクスタ
2021,J1,第１節第２日,2021-02-27,15:03,鹿島,清水,1,3,A,カシマ
2021,J1,第１節第２日,2021-02-27,15:03,湘南,鳥栖,0,1,A,レモンＳ
2021,J1,第１節第２日,2021-02-27,16:03,Ｃ大阪,柏,2,0,H,ヤンマー
2021,J1,第１節第２日,2021-02-27,17:03,神戸,Ｇ大阪,1,0,H,ノエスタ
2021,J2,第１節第２日,2021-02-28,13:03,相模原,京都,0,2,A,ギオンス
2021,J1,第１節第３日,2021-02-28,13:05,福岡,名古屋,1,2,A,ベススタ
2021,J2,第１節第２日,2021-02-28,14:03,水戸,大宮,1,2,A,Ｋｓスタ
2021,J2,第１節第２日,2021-02-28,14:03,千葉,甲府,1,1,D,フクアリ
2021,J2,第１節第２日,2021-02-28,14:03,群馬,秋田,2,1,H,正田スタ
2021,J2,第１節第２日,2021-02-28,14:03,町田,山形,1,1,D,Ｇスタ
2021,J2,第１節第２日,2021-02-28,14:04,栃木,岡山,0,2,A,カンセキ
2021,J2,第１節第２日,2021-02-28,15:03,東京Ｖ,愛媛,3,0,H,味スタ
2021,J2,第１節第２日,2021-02-28,15:03,琉球,磐田,1,0,H,タピスタ
2021,J2,第１節第２日,2021-02-28,15:30,山口,松本,0,0,D,みらスタ
2021,J1,第１１節第１日,2021-03-03,18:03,川崎Ｆ,Ｃ大阪,3,2,H,等々力
2021,J2,第２節第１日,2021-03-06,13:33,新潟,長崎,1,0,H,デンカＳ
2021,J1,第２節第１日,2021-03-06,14:03,清水,福岡,2,2,D,アイスタ
2021,J1,第２節第１日,2021-03-06,14:03,FC東京,Ｃ大阪,3,2,H,味スタ
2021,J1,第２節第１日,2021-03-06,14:03,徳島,神戸,1,1,D,鳴門大塚
2021,J2,第２節第１日,2021-03-06,14:03,大宮,甲府,0,2,A,ＮＡＣＫ
2021,J2,第２節第１日,2021-03-06,14:03,北九州,水戸,1,2,A,ミクスタ
2021,J2,第２節第１日,2021-03-06,14:03,磐田,町田,1,3,A,ヤマハ
2021,J1,第２節第１日,2021-03-06,14:04,仙台,川崎Ｆ,1,5,A,ユアスタ
2021,J1,第２節第１日,2021-03-06,15:03,横浜FC,大分,1,2,A,ニッパツ
2021,J1,第２節第１日,2021-03-06,15:03,鳥栖,浦和,2,0,H,駅スタ
2021,J1,第２節第１日,2021-03-06,16:03,柏,湘南,2,1,H,三協Ｆ柏
2021,J1,第２節第１日,2021-03-06,16:03,名古屋,札幌,1,0,H,豊田ス
